location,impressions,clicks,cost,conversions
geoTargetConstants/9194259,1,0,0.002667,0.0
geoTargetConstants/9194342,5126,9,21.811637,0.0
geoTargetConstants/9194364,13147,40,91.070381,3.0
geoTargetConstants/9194886,812,8,15.057095,1.0
geoTargetConstants/9194937,413,3,1.770957,0.0
geoTargetConstants/9195013,10,0,0.028935,0.0
geoTargetConstants/9195141,1202,16,98.82969,10.0
geoTargetConstants/9195192,6,0,0.0,0.0
geoTargetConstants/9195224,7,3,1.21,0.0
geoTargetConstants/9195280,2,1,0.01,0.0
geoTargetConstants/9195286,368,6,10.354476,0.0
geoTargetConstants/9195411,1,0,0.00099,0.0
geoTargetConstants/9195428,1,0,0.008114,0.0
geoTargetConstants/9195509,902,5,6.490046,0.0
geoTargetConstants/9197757,1,0,0.007981,0.0
geoTargetConstants/9207075,1,0,0.004352,0.0
geoTargetConstants/9207296,173,3,1.621859,3.0
geoTargetConstants/9208085,296,3,0.883979,0.0
geoTargetConstants/9209958,3,0,0.001833,0.0
geoTargetConstants/9210208,19076,139,272.071875,16.0
geoTargetConstants/9210338,5976,20,25.284041000000002,1.0
geoTargetConstants/9210535,1,1,0.01,0.0
geoTargetConstants/9210705,245,2,3.7424109999999997,1.0
geoTargetConstants/9211839,7,1,0.01,0.0
geoTargetConstants/9211871,580,2,2.196472,0.0
geoTargetConstants/9212428,305,10,5.024558,5.0
geoTargetConstants/9212738,2,0,0.006468,0.0
geoTargetConstants/9213352,22,0,0.277491,0.0
geoTargetConstants/9215592,1,0,0.008772,0.0
geoTargetConstants/9215652,509,3,5.49048,0.0
geoTargetConstants/9215688,1,0,0.0,0.0
geoTargetConstants/9217763,559,3,6.191159,0.0
geoTargetConstants/9218103,5,3,1.67,1.0
geoTargetConstants/9218144,66,1,0.917293,0.0
geoTargetConstants/9218404,146,4,3.1159260000000004,0.0
geoTargetConstants/9219049,1,0,0.0,0.0
geoTargetConstants/9219378,15641,114,228.72187300000002,13.0
geoTargetConstants/9220278,9999,128,373.476395,15.0
geoTargetConstants/9220888,2,0,0.008524,0.0
geoTargetConstants/9221204,1,0,0.006995,0.0
geoTargetConstants/9221655,81,1,1.047262,0.0
geoTargetConstants/9222075,147,0,0.590424,0.0
geoTargetConstants/9222229,1,0,0.005702,0.0
geoTargetConstants/9222411,1,1,15.68275,0.0
